Candidato;N;Partido;Coligacao;Votos;% Validos;status
JORGE TADEU;2500;DEM;PPS / DEM / PSDB;164.65;0,77%;eleito
SAMPAIO;2501;DEM;PPS / DEM / PSDB;3.084;0,01%;eliminado
RENATO GALENDI;2505;DEM;PPS / DEM / PSDB;3.424;0,02%;eliminado
JORGINHO MALULY;2511;DEM;PPS / DEM / PSDB;74.452;0,35%;eliminado
ALEXANDRE LEITE;2513;DEM;PPS / DEM / PSDB;112.95;0,53%;eleito
PROFESSOR BENJAMIN;2515;DEM;PPS / DEM / PSDB;85.945;0,40%;eliminado
KIKO DO KLB;2520;DEM;PPS / DEM / PSDB;38.07;0,18%;eliminado
CRESPO;2522;DEM;PPS / DEM / PSDB;28.907;0,14%;eliminado
RODRIGO GARCIA;2525;DEM;PPS / DEM / PSDB;226.073;1,06%;eleito
MARCELO PALINKAS;2526;DEM;PPS / DEM / PSDB;11.954;0,06%;eliminado
ZULAI“ COBRA;2529;DEM;PPS / DEM / PSDB;46.494;0,22%;eliminado
LUCIANO ARTIOLI;2530;DEM;PPS / DEM / PSDB;13.648;0,06%;eliminado
RAUL GIL JR;2536;DEM;PPS / DEM / PSDB;17.419;0,08%;eliminado
CHICO PELUCIO;2540;DEM;PPS / DEM / PSDB;10.249;0,05%;eliminado
JUNJI ABE;2545;DEM;PPS / DEM / PSDB;113.156;0,53%;eleito
SALIM REIS;2550;DEM;PPS / DEM / PSDB;11.694;0,05%;eliminado
ODECIO BRAGA;2551;DEM;PPS / DEM / PSDB;1.514;0,01%;eliminado
MANDIC;2555;DEM;PPS / DEM / PSDB;10.981;0,05%;eliminado
HIRAM JR;2560;DEM;PPS / DEM / PSDB;13.55;0,06%;eliminado
CASCIONE;2569;DEM;PPS / DEM / PSDB;45.276;0,21%;eliminado
HELIO SECCO;2570;DEM;PPS / DEM / PSDB;2.098;0,01%;eliminado
ELI CORREA FILHO;2577;DEM;PPS / DEM / PSDB;124.608;0,58%;eleito
AIRTON GARCIA;2580;DEM;PPS / DEM / PSDB;0;0,00%;eliminado
ANTONIO BRAZ;2585;DEM;PPS / DEM / PSDB;0;0,00%;eliminado
DR ELEUSES PAIVA;2588;DEM;PPS / DEM / PSDB;107.464;0,50%;eliminado
GUILHERME CAMPOS;2590;DEM;PPS / DEM / PSDB;112.852;0,53%;eleito
WALTER IHOSHI;2599;DEM;PPS / DEM / PSDB;104.4;0,49%;eliminado
CAIO;2301;PPS;PPS / DEM / PSDB;212;0,00%;eliminado
ZE ALVES;2305;PPS;PPS / DEM / PSDB;127;0,00%;eliminado
EDGAR EDUCACAO;2310;PPS;PPS / DEM / PSDB;1.71;0,01%;eliminado
SONRISAL;2311;PPS;PPS / DEM / PSDB;2.392;0,01%;eliminado
LINDOMAR DE OLIVEIRA;2313;PPS;PPS / DEM / PSDB;567;0,00%;eliminado
ZAQUEU CERQUEIRA;2317;PPS;PPS / DEM / PSDB;165;0,00%;eliminado
WILLIAM WOO;2321;PPS;PPS / DEM / PSDB;83.588;0,39%;eliminado
VALDEMAR ANFRISIO;2322;PPS;PPS / DEM / PSDB;2.254;0,01%;eliminado
ROBERTO FREIRE;2323;PPS;PPS / DEM / PSDB;121.471;0,57%;eleito
CORONEL EDSON SARDANO;2324;PPS;PPS / DEM / PSDB;11.158;0,05%;eliminado
DIMAS RAMALHO;2325;PPS;PPS / DEM / PSDB;139.636;0,66%;eleito
DIRCE;2327;PPS;PPS / DEM / PSDB;107;0,00%;eliminado
MARCOS DA FOTO;2331;PPS;PPS / DEM / PSDB;5.456;0,03%;eliminado
ARI FRIEDENBACH;2332;PPS;PPS / DEM / PSDB;85.281;0,40%;eliminado
JOSE ONERIO;2333;PPS;PPS / DEM / PSDB;79.746;0,37%;eliminado
PAULINHO LARISSA SPOSITO;2342;PPS;PPS / DEM / PSDB;6.522;0,03%;eliminado
ARNALDO JARDIM;2345;PPS;PPS / DEM / PSDB;140.641;0,66%;eleito
PROF POLLYANA GAMA;2351;PPS;PPS / DEM / PSDB;11.753;0,06%;eliminado
ANTENOR TOKO;2355;PPS;PPS / DEM / PSDB;1.154;0,01%;eliminado
DR PACHECO;2366;PPS;PPS / DEM / PSDB;8.242;0,04%;eliminado
DOUTOR LIMA;2377;PPS;PPS / DEM / PSDB;2.823;0,01%;eliminado
SILVIO NUNES FONSECA;2383;PPS;PPS / DEM / PSDB;412;0,00%;eliminado
JUANA ALVES;2393;PPS;PPS / DEM / PSDB;95;0,00%;eliminado
PROFESSOR VALDIR VERISSIMO;2399;PPS;PPS / DEM / PSDB;696;0,00%;eliminado
CARLOS SAMPAIO;4500;PSDB;PPS / DEM / PSDB;145.585;0,68%;eleito
POPPI;4501;PSDB;PPS / DEM / PSDB;2.921;0,01%;eliminado
