Legenda;0;PT;PRB / PT / PR / PC do B / PT do B;909448;bandeira 
Legenda;0;PSDB;PPS / DEM / PSDB;847239;bandeira
Legenda;0;PV;;438831;bandeira
Legenda;0;PC do B;PRB / PT / PR / PC do B / PT do B;101267;bandeira 
Legenda;0;PSOL;;60644;bandeira
Legenda;0;PP;;42428;bandeira  
Legenda;0;PTB;;41012;bandeira  
Legenda;0;PMDB;;31592;bandeira  
Legenda;0;PR;PRB / PT / PR / PC do B / PT do B;31455;bandeira  
Legenda;0;PDT;;30677;bandeira  
Legenda;0;DEM;PPS / DEM / PSDB;27267;bandeira  
Legenda;0;PSB;PSL / PSB;23109;bandeira  
Legenda;0;PPS;PPS / DEM / PSDB;19591;bandeira 
Legenda;0;PSTU;;12405;bandeira  
Legenda;0;PCB;;7773;bandeira  
Legenda;0;PRB;PRB / PT / PR / PC do B / PT do B;7051;bandeira  
Legenda;0;PSC;PSC / PHS;6445;bandeira  
Legenda;0;PRP;PSDC / PRTB / PRP;6057;bandeira  
Legenda;0;PSL;PSL / PSB;6035;bandeira  
Legenda;0;PMN;;4146;bandeira  
Legenda;0;PTN;;3591;bandeira 
Legenda;0;PTC;;3508;bandeira 
Legenda;0;PCO;;3363;bandeira  
Legenda;0;PHS;PSC / PHS;3044;bandeira 
Legenda;0;PT do B;PRB / PT / PR / PC do B / PT do B;2167;bandeira 
Legenda;0;PRTB;PSDC / PRTB / PRP;1980;bandeira  
Legenda;0;PSDC;PSDC / PRTB / PRP;1499;bandeira  
TIRIRICA;2222;PR;PRB / PT / PR / PC do B / PT do B;1353820;eleito
GABRIEL CHALITA;4030;PSB;PSL / PSB;560022;eleito
BRUNA FURLAN;4585;PSDB;PPS / DEM / PSDB;270661;eleito
PAULINHO DA FORÇA;1212;PDT;;267208;eleito
JOÃO PAULO CUNHA;1325;PT;PRB / PT / PR / PC do B / PT do B;255497;eleito
JILMAR TATTO;1353;PT;PRB / PT / PR / PC do B / PT do B;250467;eleito
RODRIGO GARCIA;2525;DEM;PPS / DEM / PSDB;226073;eleito
EMANUEL FERNANDES;4515;PSDB;PPS / DEM / PSDB;218789;eleito
ZARATTINI;1370;PT;PRB / PT / PR / PC do B / PT do B;216403;eleito
LUIZA ERUNDINA;4021;PSB;PSL / PSB;214114;eleito
OTA;4096;PSB;PSL / PSB;213024;eleito
MARCO FELICIANO;2010;PSC;PSC / PHS;211855;eleito
ARLINDO CHINAGLIA;1322;PT;PRB / PT / PR / PC do B / PT do B;207465;eleito
ARNALDO FARIA DE SÁ;1452;PTB;;192336;eleito
IVAN VALENTE;5050;PSOL;;189014;eleito
EDSON APARECIDO;4545;PSDB;PPS / DEM / PSDB;184403;eleito
VALDEMAR COSTA NETO;2299;PR;PRB / PT / PR / PC do B / PT do B;174826;eleito
MÁRCIO FRANÇA;4040;PSB;PSL / PSB;172005;eleito
JOSÉ ANIBAL;4586;PSDB;PPS / DEM / PSDB;170957;eleito
VAZ DE LIMA;4567;PSDB;PPS / DEM / PSDB;170777;eleito
JORGE TADEU;2500;DEM;PPS / DEM / PSDB;164650;eleito
ANTONIO BULHÕES;1010;PRB;PRB / PT / PR / PC do B / PT do B;162667;eleito
JONAS DONIZETTE;4000;PSB;PSL / PSB;162144;eleito
